,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
179563,2019-10-03 17:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,0,0
184496,2019-10-03 17:21:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
203338,2019-10-03 18:45:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
224669,2019-10-03 21:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.379,1.359,1,1,1
225619,2019-10-03 21:37:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,0,0
229768,2019-10-03 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
6995,2019-10-04 05:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
37798,2019-10-04 08:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
50676,2019-10-04 09:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,0,1,1
57777,2019-10-04 09:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.449,1.429,0,1,1
69332,2019-10-04 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.499,1.479,1,1,1
83727,2019-10-04 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.449,1.429,1,1,1
91291,2019-10-04 11:25:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.449,1.429,1,0,0
123272,2019-10-04 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.499,1.479,1,1,1
136594,2019-10-04 14:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.419,1.399,1,1,1
147712,2019-10-04 14:36:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.389,1.369,1,1,1
153939,2019-10-04 14:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.379,1.359,1,1,1
175087,2019-10-04 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.419,1.399,1,1,1
189068,2019-10-04 17:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,0,0
200466,2019-10-04 17:41:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.409,1.389,0,1,1
221319,2019-10-04 19:09:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.409,1.389,1,0,0
230589,2019-10-04 20:12:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.389,1.369,0,1,1
234089,2019-10-04 20:33:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.259,1.369,1.349,1,1,1
239025,2019-10-04 21:37:08+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.369,1.349,1,0,0
243429,2019-10-04 22:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
6374,2019-10-05 05:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
28979,2019-10-05 07:57:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.339,1.469,1.449,1,1,1
35770,2019-10-05 08:21:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,0,0
46978,2019-10-05 09:05:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,0,1,1
67520,2019-10-05 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.359,1.509,1.489,1,1,1
77698,2019-10-05 10:49:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.459,1.439,1,1,1
92027,2019-10-05 11:33:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.459,1.439,1,0,0
119461,2019-10-05 13:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.509,1.489,1,1,1
168462,2019-10-05 16:09:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
169912,2019-10-05 16:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.429,1.409,1,1,1
179237,2019-10-05 16:45:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.419,1.399,1,1,1
196305,2019-10-05 17:49:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.419,1.399,1,0,0
210222,2019-10-05 18:53:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
223160,2019-10-05 19:53:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.399,1.379,1,0,0
232247,2019-10-05 21:16:08+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,1,1
233748,2019-10-05 21:41:10+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.239,1.379,1.359,1,0,0
237919,2019-10-05 22:04:08+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.289,1.429,1.409,1,1,1
5504,2019-10-06 05:17:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.349,1.519,1.499,1,1,1
31586,2019-10-06 08:13:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.309,1.469,1.449,1,1,1
57528,2019-10-06 09:57:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.279,1.399,1.379,1,1,1
65228,2019-10-06 10:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.329,1.449,1.429,1,1,1
79909,2019-10-06 11:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.269,1.389,1.369,1,1,1
116340,2019-10-06 13:17:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.319,1.439,1.419,1,1,1
130210,2019-10-06 14:05:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.299,1.429,1.409,1,1,1
141936,2019-10-06 14:41:04+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.249,1.379,1.359,1,1,1
145759,2019-10-06 14:57:05+02,16f07bfd-0bde-4126-a393-ea8a7d053283,1.239,1.369,1.349,1,1,1
