,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
75404,2019-10-03 10:51:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
112777,2019-10-03 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
129868,2019-10-03 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.429,1.389,1,1,1
135846,2019-10-03 14:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
144521,2019-10-03 14:49:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
161837,2019-10-03 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.429,1.389,1,1,1
178413,2019-10-03 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.429,1.389,1,0,0
184053,2019-10-03 17:19:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.399,1.359,1,1,1
190556,2019-10-03 17:40:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,1
207331,2019-10-03 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.349,1,1,0
221336,2019-10-03 20:31:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,0
227938,2019-10-03 22:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
1208,2019-10-04 05:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
8424,2019-10-04 05:28:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
24411,2019-10-04 07:33:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.479,1.439,1,1,1
43054,2019-10-04 08:38:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.469,1.429,1,1,1
48669,2019-10-04 09:06:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
61663,2019-10-04 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
83324,2019-10-04 11:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
89266,2019-10-04 11:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.289,1.419,1.379,1,1,1
97340,2019-10-04 11:43:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
117170,2019-10-04 13:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
135839,2019-10-04 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
149702,2019-10-04 14:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
168630,2019-10-04 16:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.429,1.389,1,1,1
187666,2019-10-04 17:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,0,0
194891,2019-10-04 17:22:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
200291,2019-10-04 17:40:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,0,0
202603,2019-10-04 17:50:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
217169,2019-10-04 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.349,1,1,0
233958,2019-10-04 20:32:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,0
240238,2019-10-04 22:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
1021,2019-10-05 05:00:06+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
6634,2019-10-05 05:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
21742,2019-10-05 07:33:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.349,1.479,1.439,1,1,1
47008,2019-10-05 09:05:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.479,1.439,1,0,0
49898,2019-10-05 09:17:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.439,1.399,1,1,1
54419,2019-10-05 09:32:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
60514,2019-10-05 10:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
87128,2019-10-05 11:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
98291,2019-10-05 11:57:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
112992,2019-10-05 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
129238,2019-10-05 13:49:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
138134,2019-10-05 14:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
144579,2019-10-05 14:40:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,0,0
146997,2019-10-05 14:51:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
165321,2019-10-05 16:02:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.429,1.389,1,1,1
182501,2019-10-05 17:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,0,0
188014,2019-10-05 17:19:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.369,1,1,1
194270,2019-10-05 17:40:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,0,0
196812,2019-10-05 17:51:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
213614,2019-10-05 19:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.409,1.349,1,1,0
223424,2019-10-05 19:56:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.349,1,0,0
227906,2019-10-05 20:32:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.249,1.389,1.349,1,1,0
236289,2019-10-05 22:00:14+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
406,2019-10-06 05:01:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.509,1,1,1
7842,2019-10-06 05:35:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.379,1.529,1.489,0,0,1
20793,2019-10-06 07:34:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.339,1.479,1.439,1,1,1
33525,2019-10-06 08:18:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.309,1.449,1.409,1,1,1
49019,2019-10-06 09:21:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,1,1
55644,2019-10-06 09:47:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,0,1,1
61528,2019-10-06 10:01:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
75511,2019-10-06 10:48:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
85160,2019-10-06 11:21:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.279,1.429,1.389,1,0,0
91927,2019-10-06 11:41:05+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,1,1,1
111829,2019-10-06 13:00:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.319,1.449,1.409,1,1,1
129193,2019-10-06 14:03:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.299,1.429,1.389,1,1,1
136736,2019-10-06 14:23:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.269,1.409,1.369,1,1,1
142072,2019-10-06 14:41:04+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.409,1.369,1,0,0
143020,2019-10-06 14:46:03+02,c13f60cb-7e1c-40a8-b05a-157fd571b3fa,1.259,1.389,1.349,0,1,1
