,date,station_uuid,diesel,e5,e10,dieselchange,e5change,e10change
101210,2019-10-03 12:13:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
110148,2019-10-03 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
132453,2019-10-03 14:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
162291,2019-10-03 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,1,1
180639,2019-10-03 17:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
205205,2019-10-03 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,1,1
219507,2019-10-03 20:21:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
227571,2019-10-03 22:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
2953,2019-10-04 05:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.529,1.509,1,1,1
30806,2019-10-04 07:54:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.349,1.489,1.469,1,1,1
40215,2019-10-04 08:27:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.479,1.459,1,1,1
46019,2019-10-04 08:52:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.449,1.429,1,1,1
53063,2019-10-04 09:24:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
62870,2019-10-04 10:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
84817,2019-10-04 11:08:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.409,1.389,1,1,1
95115,2019-10-04 11:37:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.389,1.369,1,1,1
105383,2019-10-04 12:15:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
116803,2019-10-04 13:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
138088,2019-10-04 14:09:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
147539,2019-10-04 14:36:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
169373,2019-10-04 16:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
189792,2019-10-04 17:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
202171,2019-10-04 17:48:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,0,0
208518,2019-10-04 18:19:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
219142,2019-10-04 19:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
232431,2019-10-04 20:23:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
241789,2019-10-04 22:01:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
3534,2019-10-05 05:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.539,1.519,1,1,1
28635,2019-10-05 07:56:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.359,1.489,1.469,1,1,1
45888,2019-10-05 09:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.329,1.489,1.469,1,0,0
50755,2019-10-05 09:21:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.429,1.409,1,1,1
52707,2019-10-05 09:26:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
61716,2019-10-05 10:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
81416,2019-10-05 11:04:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.429,1.409,1,1,1
96966,2019-10-05 11:53:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
103929,2019-10-05 12:21:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
115040,2019-10-05 13:01:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
133857,2019-10-05 14:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
146177,2019-10-05 14:46:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,0,0
154434,2019-10-05 15:22:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
162288,2019-10-05 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
183052,2019-10-05 17:05:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.259,1.399,1.379,1,1,1
195297,2019-10-05 17:45:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,0,0
202973,2019-10-05 18:17:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
211160,2019-10-05 19:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
222772,2019-10-05 19:50:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.279,1.419,1.399,1,0,0
227031,2019-10-05 20:24:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.239,1.379,1.359,1,1,1
235469,2019-10-05 22:00:14+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
4697,2019-10-06 05:16:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.379,1.539,1.519,1,1,1
25675,2019-10-06 07:53:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.349,1.489,1.469,1,1,1
31874,2019-10-06 08:15:05+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.319,1.459,1.439,1,1,1
49516,2019-10-06 09:23:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.299,1.439,1.419,1,1,1
50426,2019-10-06 09:25:09+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
59446,2019-10-06 10:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.459,1.439,1,1,1
61668,2019-10-06 10:03:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,0,1,1
80920,2019-10-06 11:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.269,1.419,1.399,1,1,1
100234,2019-10-06 12:17:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,1,1,1
109011,2019-10-06 13:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.309,1.439,1.419,1,1,1
130739,2019-10-06 14:08:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
150288,2019-10-06 15:18:03+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.379,1.359,0,1,1
160672,2019-10-06 16:00:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.289,1.419,1.399,1,1,1
180660,2019-10-06 17:06:04+02,77c4cc3c-ae11-43c4-85cc-5c147409b46f,1.249,1.399,1.379,1,1,1
